store_id,store_name,start_time,end_time,Building_id
1,Campus Cafe,07:00:00,22:00:00,1
2,Student Snacks,08:00:00,20:00:00,1
3,Curry Market,09:00:00,21:00:00,1
4,College Coffee Shop,06:30:00,23:00:00,1
5,Campus Convenience,07:30:00,23:30:00,1
6,Science Snacks,08:00:00,18:00:00,2
7,Dunkin Donuts,11:00:00,15:00:00,2
8,Experiment Eats,07:30:00,19:30:00,2
9,Engineering Eats,07:30:00,20:00:00,3
10,Tech Bites,08:00:00,19:00:00,3
11,Robotics Refreshments,09:00:00,18:00:00,3
12,Circuit Cafe,07:00:00,21:00:00,3
13,Boston shawarma,08:30:00,19:00:00,4
14,Nu dining Café,07:00:00,20:00:00,4
15,Subway,09:00:00,18:00:00,4
16,coffee house ,09:00:00,21:00:00,5
17,Boston halal,10:00:00,20:00:00,5
18,Library Lounge,10:00:00,23:00:00,6
19,Study Snacks,08:00:00,22:00:00,6
20,Sports Bar & Grill,11:00:00,23:30:00,7
21,Fitness Fuel,06:00:00,22:00:00,7
22,Internatinal cuisines,07:00:00,21:00:00,7
23,starbucks,06:00:00,00:00:00,8
24,college convinience,06:00:00,00:00:00,9
25,Healthy Bites,07:00:00,20:00:00,10
26,Halal Shacks,08:00:00,22:00:00,11
27,Coding Cafe,07:30:00,23:00:00,11
28,Data Diner,09:00:00,21:00:00,11
29,AI Appetizers,10:00:00,20:00:00,11
30,Conference Cafe,07:30:00,18:00:00,12
31,Besto Snack,09:00:00,17:00:00,12
32,Pizza hut,06:30:00,21:00:00,13
33,Lab Lunch,11:00:00,15:00:00,13
34,Science Sips,08:00:00,20:00:00,13
35,Choolah,08:00:00,20:00:00,14
36,Startup Snacks,07:30:00,21:00:00,14
37,Dining Hall,11:00:00,14:00:00,15
